cod_apo,regiao,ano_modelo,tipo_franq,val_franq,is_casco,utilizacao,clas_bonus,perc_bonus,sexo,idade_condutor,exposicao,pre_casco,n_sinistros,valor_sinistro
41850668,01,2011,1,2502,41451,1,0,0,M,40.6735112936345,0.010951403148528405,1018,0,0
215032493,01,2002,1,1812,13347,2,9,0,F,62.217659137577,0.49555099247091033,751,0,0
234770274,01,2013,1,1217,20178,1,4,24,M,36.3066392881588,0.09034907597535935,614,0,0
47519816,01,2014,1,2552,40209,2,9,15,M,41.84804928131417,0.39698836413415467,3272,0,0
132126768,01,2012,2,1355,33105,2,6,0,F,41.73305954825462,0.49555099247091033,774,0,0
158649443,01,2013,1,1650,28483,0,6,30,F,68.63791923340177,0.06570841889117043,865,0,0
162168413,01,2007,1,2075,26704,0,5,30,M,59.20602327173169,0.3915126625598905,841,0,0
142453510,01,2012,1,1755,31545,2,0,0,F,51.78370978781656,0.3394934976043806,1132,0,0
241135167,01,2017,1,2009,38248,1,0,0,F,44.8952772073922,0.49555099247091033,904,0,0
84644566,01,2016,1,1847,51558,1,1,10,F,41.34154688569473,0.3860369609856263,1286,0,0
177322059,01,2010,1,783,24784,2,9,0,F,46.35728952772074,0.4271047227926078,626,0,0
135563963,01,2012,1,1781,29374,1,0,30,M,61.034907597535934,0.3750855578370979,998,0,0
152116425,01,2010,1,1473,16190,2,0,0,F,30.910335386721425,0.49555099247091033,0,0,0
99734179,01,2010,2,1464,23105,2,1,0,M,31.72895277207392,0.27104722792607805,763,0,0
64028252,01,2016,1,3162,31617,2,0,0,M,55.63586584531143,0.33675564681724846,912,0,0
49692208,01,2010,1,2444,42989,2,2,15,F,42.620123203285424,0.49555099247091033,1310,0,0
162133972,01,2018,1,1597,48054,1,1,30,M,45.40451745379877,0.2600958247775496,1228,0,0
229360563,01,2003,1,2444,22877,2,5,30,M,61.23750855578371,0.28473648186173856,1032,0,0
133321128,01,2010,2,5278,19070,2,1,10,M,33.223819301848046,0.2245037645448323,1359,0,0
100148781,01,2007,1,1563,19514,2,0,0,M,34.247775496235455,0.04380561259411362,723,0,0
264081416,01,2012,2,4337,34593,2,2,15,F,53.021218343600275,0.47091033538672145,1124,0,0
